entity,indicator,target
u1,purchase,iphone
u1,purchase,ipad
u2,purchase,nexus
u2,purchase,galaxy
u3,purchase,surface
u4,purchase,iphone
u4,purchase,galaxy
u1,view,iphone
u1,view,ipad
u1,view,nexus
u1,view,galaxy
u2,view,iphone
u2,view,ipad
u2,view,nexus
u2,view,galaxy
u3,view,surface
u3,view,nexus
u4,view,iphone
u4,view,ipad
u4,view,galaxy
u1,category-browse,phones
u1,category-browse,electronics
u1,category-browse,service
u2,category-browse,accessories
u2,category-browse,tablets
u3,category-browse,accessories
u3,category-browse,service
u4,category-browse,phones
u4,category-browse,tablets
